input_address,cbsa_code,cbsa_name,cbsa_type,scrape_timestamp,service_name_group,lot_size,treatment_area,cost,discount,net_cost,total_cost
"9709 NORTHFORK DR, BRENTWOOD, TN 37027",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:25:02.719715,Mosquito Control,3490.8,3490.8,79.0,0.0,79.0,79.0
"9709 NORTHFORK DR, BRENTWOOD, TN 37027",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:25:02.719715,Aeration,3490.8,3490.8,165.8,0.0,165.8,165.8
"9709 NORTHFORK DR, BRENTWOOD, TN 37027",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:25:02.719715,Aeration and Overseeding,3490.8,3490.8,286.3,0.0,286.3,286.3
"9709 NORTHFORK DR, BRENTWOOD, TN 37027",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:25:02.719715,Soil Management,3490.8,3490.8,127.35,0.0,127.35,127.35
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Fertilization,5707.0,5707.0,75.85,0.0,75.85,75.85
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Weed Control,5707.0,5707.0,75.85,0.0,75.85,75.85
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Liming,5707.0,5707.0,75.85,0.0,75.85,75.85
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Disease Control,5707.0,5707.0,104.5,0.0,104.5,104.5
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Mosquito Control,5707.0,5707.0,79.0,0.0,79.0,79.0
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Aeration,5707.0,5707.0,200.4,0.0,200.4,200.4
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Aeration and Overseeding,5707.0,5707.0,373.05,0.0,373.05,373.05
"5559 BIENVILLE ST, NOLENSVILLE, TN 37135",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,2026-03-17T21:26:00.279104,Soil Management,5707.0,5707.0,207.25,0.0,207.25,207.25
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Weed Control and Crabgrass Control,9609.0,9609.0,108.0,0.0,108.0,108.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Fertilization,9609.0,9609.0,108.0,0.0,108.0,108.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Weed Control,9609.0,9609.0,108.0,0.0,108.0,108.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Mosquito Control,9609.0,9609.0,79.0,0.0,79.0,79.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Insect Control,9609.0,,595.0,0.0,595.0,595.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Insect Control,9609.0,9609.0,119.0,0.0,119.0,119.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Grub Control,9609.0,9609.0,119.0,0.0,119.0,119.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Aeration and Overseeding,9609.0,9609.0,660.0,0.0,660.0,660.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Aeration,9609.0,9609.0,331.0,0.0,331.0,331.0
"5938 WINNIPEG CT, OOLTEWAH, TN 37363",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:54:16.508191,Armyworm Control,9609.0,9609.0,174.0,0.0,174.0,174.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Weed Control and Crabgrass Control,4092.0,4092.0,75.0,0.0,75.0,75.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Fertilization,4092.0,4092.0,75.0,0.0,75.0,75.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Weed Control,4092.0,4092.0,75.0,0.0,75.0,75.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Mosquito Control,4092.0,4092.0,79.0,0.0,79.0,79.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Insect Control,4092.0,,400.0,0.0,400.0,400.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Insect Control,4092.0,4092.0,80.0,0.0,80.0,80.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Grub Control,4092.0,4092.0,80.0,0.0,80.0,80.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Aeration and Overseeding,4092.0,4092.0,419.0,0.0,419.0,419.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Aeration,4092.0,4092.0,211.0,0.0,211.0,211.0
"1616 CASTLEBERRY AVE, CHATTANOOGA, TN 37412",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:55:13.125680,Armyworm Control,4092.0,4092.0,117.0,0.0,117.0,117.0
"4910 13TH AVE, CHATTANOOGA, TN 37407",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:56:50.826687,Weed Control and Crabgrass Control,4229.4,4229.4,75.0,0.0,75.0,75.0
"4910 13TH AVE, CHATTANOOGA, TN 37407",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:56:50.826687,Fertilization,4229.4,4229.4,75.0,0.0,75.0,75.0
"4910 13TH AVE, CHATTANOOGA, TN 37407",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-18T13:56:50.826687,Weed Control,4229.4,4229.4,75.0,0.0,75.0,75.0
